smiles,hall,zprime,a,b,c,alpha,beta,gamma,volume
CCCON1C(=O)N([C@@]([C@@H]1O)(O)c1ccc(cc1)N(=O)=O)C,81,2.0,25.111999999999995,11.249999999999998,10.590999999999998,90.0,94.36,90.0,2983.4045856393664
CCCCON1C(=O)N([C@@]([C@@H]1O)(O)c1ccc(cc1)N(=O)=O)c1ccc(cc1)C,81,2.0,15.260999999999996,19.408799999999996,15.675999999999997,90.0,117.31,90.0,4125.651427981483
COc1ccc(cc1)C(=O)C[C@@H]1Cc2c(O1)ccc(c2)N(=O)=O,81,1.0,17.804999999999993,11.018,7.6590000000000025,90.0,100.15,90.0,1478.9934790874377
C[C@@H]1CC[C@H]([C@@H](C1)OC(=O)N[C@@H](c1cccc(c1)N(=O)=O)c1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C)C(C)C,6,2.0,9.579299999999998,24.7254,13.820100000000004,90.0,98.271,90.0,3239.2719807415892
O=N(=O)c1cc(ccc1NC1CC1)[N+]#[C-],81,2.0,8.8554,29.7925,7.2533,90.0,90.375,90.0,1913.5572923991988
CN(Cc1ccccc1)c1ccc(cc1N(=O)=O)[N+]#[C-],81,1.0,13.9538,8.757799999999998,10.7834,90.0,92.892,90.0,1316.1026613063436
O=C(c1cc(cc(c1)N(=O)=O)N(=O)=O)OC[C@H]1C[C@]2(C[C@@H]1CCC2)C,81,1.0,18.9063,8.922199999999998,10.415900000000002,90.0,100.453,90.0,1727.855023876551
CN(C)CCCNc1nc2cc(ccc2nc1NCc1ccccc1)N(=O)=O,82,1.0,17.938000000000002,5.4749,21.359000000000005,90.0,68.57,90.0,1952.619668516049
Cc1cc(C)c(c(C)c1C(c1c(C)cc(C)c(c1C)N(=O)=O)=C(c1c(C)cc(C)c(c1C)N(=O)=O)c1c(C)cc(C)c(c1C)N(=O)=O)N(=O)=O,81,1.0,23.150999999999996,8.707,18.4945,90.0,111.903,90.0,3458.9404891260388
CC([C@@H]1CCC=CC1=O)(N(=O)=O)C,82,1.0,5.9443800000000016,15.3656,9.949099999999998,90.0,83.726,90.0,903.2977340912538
O=C(CC1(CCC1)N(=O)=O)c1ccccc1,143,1.0,10.022799999999997,9.839599999999999,11.039999999999996,90.0,90.0,90.0,1088.7685853951998
O=C(c1ccccc1)C[C@@]1([C@@H]2C[C@@H]3C[C@H]1C[C@H](C2)C3)N(=O)=O,115,1.0,6.585099999999999,10.4477,21.375,90.0,90.0,90.0,1470.5818156462492
O=C(CCN(=O)=O)c1ccccc1,6,1.0,5.6165199999999995,8.245,9.0227,90.0,92.654,90.0,417.37689226075025
CC(C)(CC(=O)c1ccccc1)N(=O)=O,143,1.0,10.271799999999999,9.757099999999998,10.9209,90.0,90.0,90.0,1094.5251398794016
O=C(CC1(CCCC1)N(=O)=O)c1ccccc1,290,1.0,10.156469999999999,11.031339999999998,20.7789,90.0,90.0,90.0,2328.0570215152975
OC1=C(C(=O)CC(C1)(C)C)[C@H](C1=CC=CO1)CC1=C(N(=O)=O)C(=NO1)C,6,1.0,7.740499999999998,13.5993,9.094299999999999,90.0,106.34899999999995,90.0,918.6058453488565
Nc1ccc(cc1)N(=O)=O,82,1.0,8.630000000000003,6.02,12.340000000000002,90.0,88.6,90.0,640.9037105661927
O=C(c1ccccc1)C[C@H]1CC2([C@@H]([C@H]1N(=O)=O)c1ccccc1)C(=O)OC(OC2=O)(C)C,11,1.0,22.712979466550667,10.272800000000002,9.406400000000001,90.0,81.10077325227502,90.0,2168.336120106796
Oc1ccc(cc1/C=N/C1=CC(=NN1c1ccccc1N(=O)=O)C(C)(C)C)/N=N/c1ccccc1,2,1.0,9.5873,11.2315,12.437399999999997,82.489,73.168,75.204,1237.0401381224688
Cc1ccc(cc1)/N=N/c1ccc(c(c1)/C=N/C1=CC(=NN1c1ccc(cc1)N(=O)=O)C(C)(C)C)O,115,2.0,13.244500000000004,16.527299999999997,22.825999999999997,90.0,90.0,90.0,4996.516098026095
CC(C1=NN(C(=C1)/N=C/c1cc(ccc1O)/N=N/c1ccccc1)c1ccc(cc1)N(=O)=O)(C)C,81,2.0,14.217,23.397000000000006,15.917,90.0,112.515,90.0,4890.9991570806515
O=N(=O)[C@H]1OC(=C([C@@H]1c1ccccc1)C(=O)C)C,2,1.0,7.4498,8.4498,11.1317,107.098,91.985,109.401,624.8921467614664
O=N(=O)c1ccc([NH+]=Nc2c([O-])ccc3ccccc23)cc1,73,2.0,15.9421,7.7607,21.8052,90.0,87.05399999999999,90.0,2694.2144621611246
O=N(=O)c1ccc(cc1)N=[N+]=[N-],115,1.0,3.7080999999999995,10.364199999999999,18.183999999999997,90.0,90.0,90.0,698.8382145236794
COc1ccc(cc1)[C@H]1CN1Oc1ccc(cc1N(=O)=O)N(=O)=O,290,1.0,13.2647,16.0769,13.6757,90.0,90.0,90.0,2916.4148966840517
C#CCCCC(=O)Nc1ccc(cc1)/N=N/c1ccc(cc1)N(=O)=O,2,2.0,9.048,10.849,16.836999999999993,83.985,80.53,84.53200000000001,1616.110440414922
CC1=NOC(=C1N(=O)=O)C1=NO[N+](=C1C1=C(C(=NO1)C)N(=O)=O)[O-],2,2.0,10.148,10.2157,14.3507,89.395,74.77,74.653,1381.5009446726917
O=N(=O)C1=NN(C(=N1)/N=N/C1=NC(=NN1C(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)C(N(=O)=O)(N(=O)=O)N(=O)=O,143,1.0,16.8883,7.48894,14.751700000000001,90.0,90.0,90.0,1865.728122970684
O=N(=O)N1C=C(C(=N1)N=[N+]([O-])C1=NN(C=C1N(=O)=O)N(=O)=O)N(=O)=O,290,1.0,9.4799,14.679,18.484,90.0,90.0,90.0,2572.149376616401
Nc1nc(nnc1N(=O)=O)N=[N+]=[N-],115,1.0,5.1049,9.0235,14.397899999999998,90.0,90.0,90.0,663.2258036231851
O=C(C[C@H](c1ccc(cc1)N(=O)=O)O)CC(=O)OC(c1ccccc1)c1ccccc1,6,1.0,11.723299999999997,5.60641,15.7424,90.0,100.824,90.0,1016.2707875899772
CC(CC(=O)/C(=C/c1ccc(cc1)N(=O)=O)/N1N=CN=C1)C,2,1.0,5.2451,11.955300000000003,13.5334,112.99,97.52,95.95,763.292969358757
O=N(=O)N1COCC(C1)(N(=O)=O)N(=O)=O,81,1.0,6.0341999999999985,10.911999999999997,12.606999999999994,90.0,90.319,90.0,830.0974494543459
OC[C@@]1(COCN(C1)C(C)(C)C)N(=O)=O,115,1.0,6.3723,10.698999999999998,16.242000000000004,90.0,90.0,90.0,1107.3346947233997
O=N(=O)[C@]1(COCN(C1)C(C)(C)C)CNC(C)(C)C,143,1.0,11.597,5.9906,22.923,90.0,90.0,90.0,1592.5293085085996
COC(=O)CN1C=NC(=C1N(=O)=O)N(=O)=O,82,2.0,7.253699999999999,14.416,17.81,90.0,81.22199999999998,90.0,1840.5659698873303
O=N(=O)C1=CN(C=N1)C(N(=O)=O)(N(=O)=O)N(=O)=O,115,1.0,7.0504000000000016,10.660999999999998,12.069999999999999,90.0,90.0,90.0,907.2332748079999
O=N(=O)C1=NC=CN1C(N(=O)=O)(N(=O)=O)N(=O)=O,290,2.0,11.128199999999998,18.8514,17.7184,90.0,90.0,90.0,3717.0040373464294
CC1=NON=C1C1=C(C(=NN1C(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,82,1.0,9.1396,15.9908,9.6921,90.0,79.97700000000003,90.0,1394.8771162310836
CC1=NON=C1C1=C(C(=NN1C(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,82,1.0,9.174,16.232,9.910999999999996,90.0,80.02799999999999,90.0,1453.5737599630402
O=N(=O)CN1C=NC(=C1N(=O)=O)N(=O)=O,115,2.0,6.3437,10.1592,24.638999999999996,90.0,90.0,90.0,1587.907588948558
O=N(=O)c1cccc2c1[C@H](CC2)[C@H]1CCc2c1c(ccc2)N(=O)=O,81,1.0,16.078900000000004,8.0785,12.206400000000002,90.0,104.48699999999998,90.0,1535.1178591257656
COc1ccc(cc1)N(CCC1=CN(C(=O)c2ccc(cc2)N(=O)=O)c2ccc(OC)cc12)c1ccc(OC(=O)OC(C)(C)C)cc1,2,1.0,6.8134,14.928299999999995,16.487,87.748,78.963,79.26699999999998,1617.110980908549
CC(=C)[C@@H]1C/C(=N\Nc2ccc(cc2N(=O)=O)N(=O)=O)/C(=C[C@H]1N(c1ccccc1)C)C,115,1.0,6.364809999999999,17.964500000000005,18.8399,90.0,90.0,90.0,2154.166020912876
O=N(=O)c1ccc(cc1)[C@@H]1C2=C(C(=O)N(C2=O)c2ccccc2)C2=C([C@]31C(=NN(C3=O)c1ccccc1)C)N(C)c1c2cccc1,2,1.0,10.373999999999999,11.6379,14.172699999999997,111.046,105.50399999999999,98.424,1481.8446848509816
O=N(=O)c1ccc(cc1)[C@@H]1C2=C(C(=O)N(C2=O)c2ccccc2)C2=C([C@@]31C(=NN(C3=O)c1ccccc1)C)N(C)c1c2cccc1,81,1.0,7.622,28.842999999999996,13.5658,90.0,96.79500000000002,90.0,2961.3754036203227
COc1ccc(cc1OC)CC/N=C/c1ccc(cc1)N(=O)=O,2,1.0,7.7769,9.6822,10.9696,96.863,101.186,97.708,793.9239618868448
CN1[C@@H]2CCC[C@H]1/C(=C\c1ccc(cc1)N(=O)=O)/C(=O)/C/2=C/c1ccc(cc1)N(=O)=O,2,1.0,7.1824,8.0268,19.3231,97.229,93.509,116.419,981.088213290796
O=C1CC[C@@]2(O1)OC[C@@]([C@@H]2OC(=O)c1ccc(cc1)N(=O)=O)(C)O,164,2.0,11.678299999999998,8.2327,30.710999999999995,90.0,90.0,90.0,2952.6765539315097
COC(=O)[C@@H]1[C@H](c2ccccc2)[C@H]([C@@H](N1C)c1ccccc1)NC(=O)[C@H]1N[C@H]([C@@H]([C@H]1c1ccccc1)N(=O)=O)c1ccccc1,115,1.0,10.916199999999998,12.354699999999998,23.454700000000003,90.0,90.0,90.0,3163.2503924508583
CC(=O)Oc1ccc2c(c1)[C@@]1(N(=O)=O)[C@@H](c3ccccc3)[N@]3N([C@H]1O2)C(=O)CC3,90,1.0,17.0806,12.646799999999999,17.15759999999999,90.0,92.437,90.0,3702.945747524898
O=C(c1ccc(cc1)N(=O)=O)O[C@@H]1CC2=CC3=CCCC[C@@H]3CC[C@H]2C([C@H]1OC(=O)c1ccc(cc1)N(=O)=O)(C)C,6,1.0,12.8361,6.328100000000002,17.3041,90.0,100.743,90.0,1380.9442452122287
C[C@@H](N1N=NC(=N1)c1ccc(cc1)N(=O)=O)CCN1C(=O)c2c(C1=O)cccc2,164,1.0,7.6825,13.327200000000007,18.012,90.0,90.0,90.0,1844.1804865680015
CC(=O)OCC[C@@H](N1N=NC(=N1)c1ccc(cc1)N(=O)=O)C,2,1.0,7.898700000000001,10.2849,10.717900000000002,116.598,101.90499999999999,90.188,757.2369834253011
COC(=O)c1cc(cc(C)c1c1c(C)cc(cc1C(=O)OC)N(=O)=O)N(=O)=O,81,1.0,13.1456,8.332099999999999,16.336,90.0,90.31,90.0,1789.2633030948837
O[C@H]1CC(=O)[C@@H]2[C@@H](C1)C(=CN1[C@H]2c2ccccc2C1)N(=O)=O,82,1.0,11.689,5.846,19.4233,90.0,87.23899999999999,90.0,1325.7289714797384
CCOC(=O)C[C@H]1C[C@H]2[C@@H]([C@@]31N(Cc1c3cccc1)C=C2N(=O)=O)C(=O)c1ccccc1,284,1.0,25.47790000000001,11.8085,13.8705,90.0,90.0,90.0,4173.02012631158
O=N(=O)C1=CN2Cc3c([C@@H]2[C@]2([C@@H]1/C=C/N1CCCCC1)C(=O)Nc1c2cccc1)cccc3,2,1.0,9.5216,10.7823,12.6332,106.178,93.80000000000001,114.614,1107.4763975360195
C/C(=C(/C(=O)C)\C=C\[C@H]1C(=CN2[C@@H]([C@H]1C(=O)c1ccccc1)c1ccccc1C2)N(=O)=O)/O,284,1.0,15.5191,9.0804,30.9354,90.0,90.0,90.0,4359.405296377662
O=N(=O)C1=CN2Cc3c([C@H]2[C@@H]([C@@H]1CC=C(C(=O)c1ccccc1)C(=O)c1ccccc1)C(=O)c1ccccc1)cccc3,164,2.0,17.46,13.750000000000007,23.42,90.0,90.0,90.0,5622.556499999999
N#C[C@@]1(C(=O)c2ccccc2)[C@@H]2N(Cc3c2cccc3)C=C([C@@H]1/C=C/C(=C(/O)\C)/C(=O)C)N(=O)=O,2,1.0,8.718999999999998,11.529,12.886999999999999,86.887,72.75599999999997,74.68399999999998,1192.8454125762407
C/C(=C(/C(=O)C)\C=C\[C@@H]1C(=CN2[C@H]([C@@]31C(=O)Nc1c3cccc1)c1ccccc1C2)N(=O)=O)/O,82,1.0,9.664199999999997,18.5733,13.447900000000006,90.0,69.67599999999997,90.0,2263.5679143179937
O=N(=O)C1=CN2Cc3c([C@H]2[C@@H]([C@@H]1/C=C/C1=C(C)ON=C1C)C(=O)c1ccccc1)cccc3,81,1.0,14.0994,10.935400000000001,16.350800000000007,90.0,115.198,90.0,2281.1141653512036
C=C[C@@H]1[C@H]2[C@H](C=C)C[C@H]3[C@]2([C@@H](C1(C)C)OC(=O)c1ccc(cc1N(=O)=O)N(=O)=O)CC=C3,90,1.0,37.396,7.2889,16.6753,90.0,100.81699999999998,90.0,4464.519308208804
C=CCC1(CC=C)C[C@@H]2[C@@]([C@@H]1OC(=O)c1ccc(cc1)N(=O)=O)(CC=C)[C@@H]1C[C@H]2C=C1,2,1.0,8.3785,10.389699999999998,13.812999999999997,71.47199999999998,77.11299999999999,78.667,1101.0670353786693
CCC[C@]12CCC[C@H]1[C@H]1[C@]3([C@H]2OC(=O)c2ccc(cc2)N(=O)=O)CCC[C@@H]3C[C@@H]1CC,82,1.0,7.112399999999999,19.1677,16.9679,90.0,82.12099999999998,90.0,2291.3686127346223
O=C1C=C[C@H]2[C@@H]1[C@@H](O)c1c(O2)ccc(c1)N(=O)=O,115,1.0,6.803200000000002,9.867099999999999,16.0053,90.0,90.0,90.0,1074.4014531500159
O=N(=O)[C@H]1[C@H]2C=CC(=O)[C@H]2[C@@H]1c1ccc2c(c1)cccc2,1,2.0,7.469,8.964300000000001,11.599200000000002,80.665,75.97,66.072,686.9059070546867
NC1=C(N=NC2=C(C(=NN12)O)N(=O)=O)N(=O)=O,22,1.0,7.4746999999999995,5.6162,9.889100000000001,90.0,88.084,90.0,414.9064884296789
OC[C@](N1N=NC(=N1)c1ccc(cc1)N(=O)=O)(C=C)C,1,2.0,7.1821,7.447,13.285,74.024,75.318,83.089,659.823257807076
NC1=NN2C(=C(N=NC2=C1N(=O)=O)C#N)N,6,1.0,4.956,4.8398,17.011999999999993,90.0,91.769,90.0,407.8561888816995
NC1=C(N=NC2=C(C(=NN12)N(=O)=O)N(=O)=O)C#N,115,1.0,5.4197999999999995,8.708800000000002,19.3747,90.0,90.0,90.0,914.4849534137284
C=C[C@@H](C[C@H](NC(=O)c1ccc(cc1)N(=O)=O)C[C@H](O)C)O,115,3.0,9.5587,10.505099999999999,47.69069999999999,90.0,90.0,90.0,4788.86637952486
C=C[C@H]([C@H](c1ccc(cc1)N(=O)=O)C=C(C)C)C(=O)O,2,1.0,7.931499999999999,8.5341,11.848000000000003,83.141,86.037,70.506,750.2206924430866
C=C[C@@H]([C@@H](C(=O)O)C=C(C)C)c1ccc(cc1)N(=O)=O,90,1.0,8.2927,14.953200000000006,24.347499999999997,90.0,95.23880000000001,90.0,3006.536871827885
COc1cc(ccc1[NH+]=Cc1c([O-])ccc2ccccc12)N(=O)=O,81,1.0,7.1236,13.3033,15.961000000000006,90.0,97.802,90.0,1498.5804588463789
COc1cc(ccc1NC(=O)/C=C\C(=O)O)N(=O)=O,81,1.0,3.8663999999999996,26.282000000000014,11.211399999999998,90.0,96.461,90.0,1132.0299076381318
COc1nc2ccc(cc2nc1OC)N(=O)=O,82,1.0,3.814800000000001,14.3973,18.653099999999984,90.0,89.89999999999999,90.0,1024.4792941149474
O=N(=O)c1cc(ccc1N/N=C/1\CCC[C@@H]2[C@@H]1[C@H]1CCC[C@]31N([C@@H]2CC3)Cc1ccccc1)N(=O)=O,82,1.0,7.429400000000001,12.6288,25.784299999999998,90.0,86.25599999999999,90.0,2414.0335203022423
O=Cc1cccc(c1)N(=O)=O,6,1.0,3.813,7.053,12.675199999999997,90.0,94.31,90.0,339.9112973316778
O=C(c1ccccc1)Oc1cc(ccc1/N=N/c1ccc(cc1)Oc1ccc(cc1)N(=O)=O)OC(=O)c1ccccc1,82,1.0,16.4444,9.9892,16.7716,90.0,73.899,90.0,2646.9431907753183
Oc1ccccc1/C=N/C1=CC(=NN1c1cccc(c1)N(=O)=O)C(C)(C)C,164,1.0,8.7683,22.7334,9.5633,90.0,90.0,90.0,1906.283872658226
Oc1ccccc1/C=N/C1=CC(=NN1c1ccc(cc1)N(=O)=O)C(C)(C)C,90,1.0,10.2224,20.6591,18.6509,90.0,104.246,90.0,3817.6755536759674
C[C@@H]1CCC2=C3C4=C1C(=O)C[C@@H]4[C@@H](OC(=O)c1ccc(cc1)N(=O)=O)C[C@]3(C)CC[C@@H]2C,115,1.0,9.5765,14.8293,15.1623,90.0,90.0,90.0,2153.240547802335
CN1C(=O)C=Nc2ccc(cc12)N(=O)=O,2,1.0,7.0535000000000005,7.1264,9.232900000000003,77.93599999999999,75.463,80.201,435.9109789253086
CCOCN1c2ccc(cc2C2=C1C(=O)N(Cc1ccccc21)C(=O)OC(C)(C)C)N(=O)=O,2,1.0,9.8567,11.004700000000001,11.017899999999997,87.985,78.25,68.552,1088.0280314663385
Cc1cccc(Nc2c(cc(cc2N(=O)=O)N(=O)=O)N(=O)=O)c1,81,1.0,12.579999999999998,8.0014,15.015599999999997,90.0,110.794,90.0,1412.983919063157
Cc1cccc(Nc2c(cc(cc2N(=O)=O)N(=O)=O)N(=O)=O)c1,2,1.0,7.519499999999999,8.372299999999994,12.2263,81.03889999999998,81.91569999999999,64.05649999999997,681.4174024507563
Cc1cccc(Nc2c(cc(cc2N(=O)=O)N(=O)=O)N(=O)=O)c1,164,1.0,29.971000000000004,9.053700000000001,5.115,90.0,90.0,90.0,1387.9472844104998
O=N(=O)c1ccc(cc1)c1nc2cc(ccc2nc1c1ccccc1)N(=O)=O,2,2.0,7.69446,13.439929999999999,16.76049,91.6447,97.0953,97.73800000000001,1702.5054065426064
O=N(=O)c1ccc2nc(c3ccccc3)c(nc2c1)c1ccc2ccccc2c1,82,1.0,5.968910000000001,33.1917,9.10694,90.0,85.76080000000002,90.0,1799.315013231481
