ccdc_id,Calc. Density,Cell Volume,CHIRAL SMILES,Space Gp. Number
NMBZYA01,1.359,1252.081,COc1ccc(cc1)/N=C/c1ccc(cc1)N(=O)=O,14
NMBZYA02,1.407,1209.802,COc1ccc(cc1)/N=C/c1ccc(cc1)N(=O)=O,14
NMHXNT,1.581,1088.982,OC[C@@H]1C[C@@]2(N([C@H]1[C@H]1C[C@]1(C2)N(=O)=O)O)N(=O)=O,14
NMPCPR,1.446,1595.945,N#CCCNC(=O)[C@H]1CC(=CN1C)NC(=O)[C@@H]1CC(=CN1C)N(=O)=O,14
NMYPHD,1.574,806.836,O=N(=O)/C=C/1\OC(=O)c2c1cccc2,19
NMYPIP,1.315,1435.911,O=N(=O)/C=C\1/CCCCN1,61
NMZNON,1.438,1123.654,CN1C[C@@]2(CC(=O)C[C@](C1)(C2)N(=O)=O)N(=O)=O,14
NMZNON01,1.449,2229.542,CN1C[C@@]2(CC(=O)C[C@](C1)(C2)N(=O)=O)N(=O)=O,56
NNAPAN10,1.777,1077.098,O=C1OC(=O)c2ccc(c3c2c1ccc3N(=O)=O)N(=O)=O,14
NNAPMP,1.435,1565.642,Cc1cccc(C)c1Oc1c2ccccc2c(cc1N(=O)=O)N(=O)=O,14
NNFPRO,1.422,1369.731,O=N(=O)C1=CC=C(O1)/C=C/C(=O)c1ccc2c(c1)cccc2,14
NOACTD,1.592,434.14,NC(=O)CN(=O)=O,14
NOADFU,1.385,1690.196,COC(=O)[C@]1(C=CC(O1)(N(=O)=O)N(=O)=O)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3,14
NOBSEE,1.261,3901.56,O=N(C[C@@H](c1ccccc1)C2=C(c3ccccc3)ON=C2c4ccccc4)=O,61
NOBSUV,1.313,1103.917,COC[C@](C(=O)N1C(=O)OC[C@H]1C(C)C)(CCCOC(=O)c1ccc(cc1)N(=O)=O)C,4
NOCWIM,1.398,2230.44,COc1ccc(cc1)CN1C(=O)[C@@H]([C@H]2[C@]1(COC(O2)(C)C)C(=O)Nc1ccccc1N(=O)=O)C,5
NODTIJ,1.57,1304.27,Nc1cc(ccc1O)N(=O)=O,14
NODXEK,1.416,1591.6,O=C1CCCC2=C1[C@H](C1=C(O2)CCCC1=O)c1ccccc1N(=O)=O,14
NODYIO,1.233,3484.91,CCC[C@H]([C@@H]1c2ccccc2[C@@H](c2c1cccc2)N(=O)=O)C(=O)C,61
NOETNA,1.919,1343.676,O=N(=O)N(CC(N(=O)=O)(N(=O)=O)N(=O)=O)CC(N(=O)=O)(N(=O)=O)N(=O)=O,33
NOETNA01,1.955,1318.919,O=N(=O)N(CC(N(=O)=O)(N(=O)=O)N(=O)=O)CC(N(=O)=O)(N(=O)=O)N(=O)=O,14
NOETNA02,1.953,1320.189,O=N(=O)N(CC(N(=O)=O)(N(=O)=O)N(=O)=O)CC(N(=O)=O)(N(=O)=O)N(=O)=O,14
NOEURA,1.861,689.057,O=C(NCC(N(=O)=O)(N(=O)=O)N(=O)=O)NCC(N(=O)=O)(N(=O)=O)N(=O)=O,34
NOEURA01,1.891,678.263,O=C(NCC(N(=O)=O)(N(=O)=O)N(=O)=O)NCC(N(=O)=O)(N(=O)=O)N(=O)=O,34
NOFBEP,1.333,700.947,CNC(NC)=C(C=C1C(=O)CC(C)(C)CC1=O)N(=O)=O,2
NOFLUP,1.324,1296.059,O[C@@H](c1ccccc1)CNc1ccc(cc1)N(=O)=O,14
NOFNED,1.375,1107.463,Cc1cc(ccc1O)c1ccccc1N(=O)=O,29
NOFNIH,1.269,709.822,Cc1ccc(c2cc(C)c(O)c(C)c2C)c(c1)N(=O)=O,2
NOFWAJ,1.388,1094.548,COc1cccc2c1OC[C@]1([C@@H]2C(=C[C@H]1c1ccccc1)C(=O)OCc1ccccc1)N(=O)=O,2
NOGCET,1.272,1145.056,CN1C(=NC(=C1N(=O)=O)C#CC=C(C)C)C,62
NOGCIX,1.329,1405.763,CC1=NC(=C(N1C)N(=O)=O)C#C/C=C(/c1ccccc1)\C,14
NOGGUL,1.357,1689.92,COc1c(OC)cc(cc1OC)/C=C/c1ccc(c(c1)OC)N(=O)=O,14
NOGRIM,1.414,832.212,CC(C)(C)NC1=C(N=C2N1C=CC=C2C(O)=O)c1cccc(c1)N(=O)=O,2
NOHCAQ,1.356,3030.348,CN1C=C(c2ccccc2)[C@H](NC1=O)c1ccc(cc1)N(=O)=O,15
NOHDAS,1.339,1568.932,CCOC(=O)C1=CC[C@]2([C@@H]1N(C(=O)C)c1c2cccc1)N(=O)=O,19
NOHDFR,1.503,510.812,COC(=O)[C@]1(C=C[C@@H](O1)N(=O)=O)OC(=O)C,2
NOHREJ,1.259,1053.619,CO[C@@]1(COCc2ccccc2)O[C@@H]([C@H]2[C@@H]1[C@@H]2N(=O)=O)COCc1ccccc1,4
NOHTOT,1.35,1772.927,CCOC(=O)C1=C(C)NC(=C([C@H]1c1cccc(c1)N(=O)=O)C(=O)OC)C,4
NOJGOL,1.369,907.945,C=C[C@H]1CCC[C@]2(O1)CCC/C(=N/Nc1ccc(cc1N(=O)=O)N(=O)=O)/C2,2
NOJKUU,1.45,1788.805,CO[C@H]1CCCN2N1C(=O)[C@@H]1C[C@H](CN1C2=O)OCc1ccc(cc1)N(=O)=O,19
NOJLAB,1.381,871.454,CO[C@H]1CCCCN2N1C(=O)[C@@H](N(C2=O)Cc1ccc(cc1)N(=O)=O)C,4
NOJTUC,1.347,2517.99,Oc1ccccc1/C=N/[C@H]([C@H](c1ccc(cc1)N(=O)=O)/N=C/c1ccccc1O)c1ccc(cc1)N(=O)=O,14
NOKJEF,1.933,928.161,NC1=C(N=NC2=NC(=NN12)N(=O)=O)[N+]([O-])=NN(=O)=O,14
NOKJIJ,1.577,1184.371,CC(C)(C)N=[N+]([O-])C1=C(N)N2N=C(N=C2N=N1)N(=O)=O,14
NOKJOP,1.389,1761.044,CC(C)N1N=C([N+]([O-])=NC(C)(C)C)C(=NN(=O)=O)N2N=C(N=C12)N(=O)=O,14
NOKVIV,1.447,1902.411,O=N(=O)c1cc(ccc1Oc1ccc(cc1)/C=C/c1nccc2c1cncc2)N(=O)=O,14
NOLFUQ,1.357,1170.839,COC(=O)[C@H]([C@H](c1ccc(cc1)N(=O)=O)O)C,14
NOLHIG,1.371,751.508,COC(=O)C1=C2C=CC=CC2=C(C)N1c1ccc(cc1)N(=O)=O,2
NOLZUJ,1.351,1899.777,COC(=O)[C@H]1N[C@H]([C@]([C@H]1c1ccc(cc1)OC)(C)N(=O)=O)c1ccccc1O,14
NOMBEA,1.619,927.96,Cc1c(cc(cc1N(=O)=O)C(O)=O)N(=O)=O,14
NOMBEA01,1.658,906.211,Cc1c(cc(cc1N(=O)=O)C(O)=O)N(=O)=O,14
NOMESL,1.187,924.397,Cc1cc(C)c(c(C)c1)N(=O)=O,33
NOMESL01,1.271,1726.018,Cc1cc(C)c(c(C)c1)N(=O)=O,29
NOMESL02,1.206,909.878,Cc1cc(C)c(c(C)c1)N(=O)=O,62
NOMNIO,1.234,2585.726,CCOc1ccc(cc1)N(c1ccc(cc1)OCC)c1ccc(cc1)/C=C/c1ccc(cc1)N(=O)=O,14
NOMNOU,1.233,2723.33,CCOc1ccc(cc1)N(c1ccc(cc1)OCC)c1ccc(cc1)/C=C(/c1ccc(cc1)N(=O)=O)\C#N,2
NONQUF,1.315,2345.733,O=N(=O)c1ccc(cc1)N1c2ccccc2C(c2ccccc12)=C1c2ccccc2c2ccccc12,14
