ccdc_id,CHIRAL SMILES
SAVNAI,NC1=C(N=NC2=C(C(=NN12)O)N(=O)=O)N(=O)=O
TANPOR,OC[C@](N1N=NC(=N1)c1ccc(cc1)N(=O)=O)(C=C)C
TAPZAP,NC1=NN2C(=C(N=NC2=C1N(=O)=O)C#N)N
TAPZOD,NC1=C(N=NC2=C(C(=NN12)N(=O)=O)N(=O)=O)C#N
TASCAV,C=C[C@@H](C[C@H](NC(=O)c1ccc(cc1)N(=O)=O)C[C@H](O)C)O
TATPEN,C=C[C@H]([C@H](c1ccc(cc1)N(=O)=O)C=C(C)C)C(=O)O
TATPIR,C=C[C@@H]([C@@H](C(=O)O)C=C(C)C)c1ccc(cc1)N(=O)=O
TAVJEJ,COc1cc(ccc1[NH+]=Cc1c([O-])ccc2ccccc12)N(=O)=O
UCOHON,COc1cc(ccc1NC(=O)/C=C\C(=O)O)N(=O)=O
UZIRON,COc1nc2ccc(cc2nc1OC)N(=O)=O
VANBIZ,O=N(=O)c1cc(ccc1N/N=C/1\CCC[C@@H]2[C@@H]1[C@H]1CCC[C@]31N([C@@H]2CC3)Cc1ccccc1)N(=O)=O
VENCEZ01,O=Cc1cccc(c1)N(=O)=O
WAPDAW,O=C(c1ccccc1)Oc1cc(ccc1/N=N/c1ccc(cc1)Oc1ccc(cc1)N(=O)=O)OC(=O)c1ccccc1
WAQLEJ,Oc1ccccc1/C=N/C1=CC(=NN1c1cccc(c1)N(=O)=O)C(C)(C)C
WAQLIN,Oc1ccccc1/C=N/C1=CC(=NN1c1ccc(cc1)N(=O)=O)C(C)(C)C
WAVZIG,C[C@@H]1CCC2=C3C4=C1C(=O)C[C@@H]4[C@@H](OC(=O)c1ccc(cc1)N(=O)=O)C[C@]3(C)CC[C@@H]2C
WAWDEH,CN1C(=O)C=Nc2ccc(cc12)N(=O)=O
WAXTOI,CCOCN1c2ccc(cc2C2=C1C(=O)N(Cc1ccccc21)C(=O)OC(C)(C)C)N(=O)=O
XAMFEA,Cc1cccc(Nc2c(cc(cc2N(=O)=O)N(=O)=O)N(=O)=O)c1
XAMFEA01,Cc1cccc(Nc2c(cc(cc2N(=O)=O)N(=O)=O)N(=O)=O)c1
XAMFEA02,Cc1cccc(Nc2c(cc(cc2N(=O)=O)N(=O)=O)N(=O)=O)c1
XAPSEQ,O=N(=O)c1ccc(cc1)c1nc2cc(ccc2nc1c1ccccc1)N(=O)=O
XAPSOA,O=N(=O)c1ccc2nc(c3ccccc3)c(nc2c1)c1ccc2ccccc2c1
XAPTAN,O=N(=O)c1ccc(cc1)c1nc2ccc(cc2nc1c1ccccc1)N(=O)=O
XAPTER,O=N(=O)c1ccc2nc(c3ccc4ccccc4c3)c(nc2c1)c1ccccc1
XATBED,Cc1ccc(cc1)[C@H]([C@@H](c1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C)c1ccccc1)C(=O)Oc1ccc(cc1)N(=O)=O
XAWCEH,C[C@@H]1[C@@H](C[C@H]2C[C@@H]1C2(C)C)N(C(=O)c1ccc(cc1)N(=O)=O)[C@@H](c1ccccc1)C
XAWDAE,C[C@H]1[C@H](C[C@H]2C[C@@H]1C2(C)C)N(C(=O)c1ccc(cc1)N(=O)=O)[C@H](c1ccccc1)C
XAWGUB,OCCN1c2ccc3-c4c(C(=O)c3c2C([C@]21C=Cc1c(O2)ccc(c1)N(=O)=O)(C)C)cccc4
YANFOM,CCC[C@@H]([C@@H](CCC)C#N)NC(=O)c1ccc(cc1)N(=O)=O
YAPBIE,Oc1ccc(cc1)[C@H]1N(Nc2ccc(cc2)N(=O)=O)C(=O)[C@H]2N1c1ccccc1C2
YARQUH,COc1ccc(cc1)N1c2ccccc2[C@H]([C@@H]1c1ccccc1)C(=C)c1ccc(cc1)N(=O)=O
YAXWIH,O=N(=O)c1ccc(cc1)/C=C/C(=O)c1ccccc1N(=O)=O
YAXWON,O=C(c1ccccc1N(=O)=O)/C=C/c1ccccc1N(=O)=O
