refcode,mlp_method,gaff_method,status,mlp_energy_kJ_mol,gaff_energy_kJ_mol,mlp_rmsd,gaff_rmsd,mlp_max_abs_stress_GPa,gaff_max_abs_stress_GPa,mlp_status,gaff_status
ABEQIK,mace,gaff_mace,ok,-34296.60355133579,-34294.52373763788,0.19117284,0.13638520,0.129608878122,0.0273871703468,match,match
ABEQIK,maceoff,gaff_maceoff,ok,-36935.57940025,-36935.5796155,0.03552497,0.04437950,,0.0344398896496,timeout_match,match
ABEQIK,uma,gaff_uma,ok,-34215.37447992783,-34215.504638640865,0.00916296,0.03998099,,0.0320047242245,match,match
ABEQOR,mace,gaff_mace,ok,-21764.36627772265,-21763.457578864713,0.11680488,0.09632337,0.0328820624922,0.029012114352,match,match
ABEQOR,maceoff,gaff_maceoff,ok,-28513.66623325,-28513.668761,0.04092767,0.05181662,0.0307760844245,0.0324344915313,match,match
ABEQOR,uma,gaff_uma,ok,-21697.16646306141,-21697.787900964282,0.01764896,0.03666263,,,match,match
ABICUJ,mace,gaff_mace,ok,-44082.44166282384,-44082.154618960776,0.11993764,0.11053859,0.108967622152,0.0284517399524,match,match
ABICUJ,maceoff,gaff_maceoff,ok,-62032.7702145,-62032.756804,0.02980564,0.06684880,0.0303650417001,0.018800547864,match,match
ABICUJ,uma,gaff_uma,ok,-43843.51903902819,-43841.98381266611,0.01266418,0.05087901,,,match,match
ABIFUO,mace,gaff_mace,ok,-31483.43518858672,-31483.080001957842,0.08912795,0.10857816,,0.0181197670157,timeout_match,match
ABIFUO,maceoff,gaff_maceoff,ok,-32350.31463975,-32350.284208,0.04534915,0.08191699,,0.0223666326244,timeout_match,match
ABIFUO,uma,gaff_uma,ok,-31404.697078998182,-31403.17304493463,0.01825089,0.06414602,0.0151894937591,0.0238818903608,match,match
ABIGUQ,mace,gaff_mace,ok,-21056.011535325204,-21054.7978837657,0.18100198,,0.152804049184,0.0334588504676,match,error: StructureMatcher did not find a match
ABIGUQ,maceoff,gaff_maceoff,ok,-31439.6421263125,-31439.5429431875,0.05344830,,,0.00980870956441,timeout_match,error: StructureMatcher did not find a match
ABIGUQ,uma,gaff_uma,ok,-20956.620420788015,-20950.02108337511,0.02733695,,0.00617933825672,0.00864560333892,match,error: StructureMatcher did not find a match
ABIHAX,mace,gaff_mace,ok,-26465.075552549195,-26465.261528026866,0.08099774,0.09830767,0.166846012504,0.0216238229779,match,match
ABIHAX,maceoff,gaff_maceoff,ok,-34110.5297325,-34110.528108,0.04435293,0.06042170,0.0322074219148,0.0127413819723,match,match
ABIHAX,uma,gaff_uma,ok,-26298.450545937525,-26297.98136440243,0.01080450,0.04556807,0.13060691679,,match,match
ABITOX,mace,gaff_mace,ok,-49479.80673101221,-49478.14727978503,0.07437847,0.07132488,0.035444147069,0.0316356006237,match,match
ABITOX,maceoff,gaff_maceoff,ok,-56614.5856195,-56614.552706,0.01991031,0.05155352,0.028168809761,0.0264955361133,match,match
ABITOX,uma,gaff_uma,ok,-49329.109233571464,-49325.55862159199,0.01065665,0.05820273,,,match,match
ABOFIH,mace,gaff_mace,ok,-36792.563310967016,-36794.40405813327,0.11571750,,0.129106949108,0.0249522909825,match,error: StructureMatcher did not find a match
ABOFIH,maceoff,gaff_maceoff,ok,-38610.7866975,-38610.783437,0.05512126,,0.0255754838422,0.0280019698793,match,error: StructureMatcher did not find a match
ABOFIH,uma,gaff_uma,ok,-36608.01779416409,-36605.21315852993,0.04664945,,,0.0284871993379,match,error: StructureMatcher did not find a match
ABOFON,mace,gaff_mace,ok,-40617.034674083894,-40615.272658948656,0.12190645,0.11155012,0.0286707119751,0.00896011274794,match,match
ABOFON,maceoff,gaff_maceoff,ok,-42799.806742,-42799.772437,0.06947136,0.08826076,0.026196541547,0.0354052932614,match,match
ABOFON,uma,gaff_uma,ok,-40425.462950667745,-40424.729420930285,0.04302635,0.08029721,0.0180950918623,,match,match
ABOFUT,mace,gaff_mace,ok,-50144.415307250616,-50153.346761474604,0.01820937,0.12189571,,0.011827697336,timeout_match,match
ABOFUT,maceoff,gaff_maceoff,ok,-48712.114557,-48712.0525935,0.04875199,0.10999063,,0.0228825551164,timeout_match,match
ABOFUT,uma,gaff_uma,ok,-49970.41042704083,-49964.25919766197,0.01451463,0.10501312,0.0171790126596,0.0212836795969,match,match
ABOPEQ,mace,gaff_mace,ok,-21749.620906840908,-21740.341695358613,0.24903447,,0.543138279813,0.0363615913496,timeout_match,error: StructureMatcher did not find a match
ABOPEQ,maceoff,gaff_maceoff,ok,-29791.91187725,-29791.8833965,0.05222941,0.07660945,0.0314315705057,0.0232302428128,match,match
ABOPEQ,uma,gaff_uma,ok,-21596.40239239977,-21593.86285021562,0.01367074,0.11811844,0.0212484300439,0.0310438842214,match,match
ABORIS,mace,gaff_mace,ok,-32947.82332237366,-32945.987833658015,0.08653807,0.08311143,0.173169118763,0.0309080898592,match,match
ABORIS,maceoff,gaff_maceoff,ok,-37380.442487,-37380.4045505,0.04775201,,0.0240608727666,0.0328941042412,match,error: StructureMatcher did not find a match
ABORIS,uma,gaff_uma,ok,-32822.74803554758,-32818.71779498213,0.01276674,,,0.147622273975,match,error: StructureMatcher did not find a match
ABOVUM,mace,gaff_mace,ok,-21691.98553842505,-21692.039039541716,0.12961705,0.12029871,0.139896935417,0.03179294713,match,match
ABOVUM,maceoff,gaff_maceoff,ok,-28417.4552285,-28417.4537705,0.05250318,0.05075662,,0.027531744672,timeout_match,match
ABOVUM,uma,gaff_uma,ok,-21601.32338555139,-21600.229772554438,0.02816587,0.04086293,,,match,match
ABOVUM01,mace,gaff_mace,ok,-21691.981437798433,-21692.030934773815,0.12353216,0.11306800,0.138033099277,0.0319261955227,match,match
ABOVUM01,maceoff,gaff_maceoff,ok,-28417.455876,-28417.4537875,0.03020935,0.04064995,,0.0273665824753,timeout_match,match
ABOVUM01,uma,gaff_uma,ok,-21601.273792090677,-21600.22572017049,0.01326967,0.04875851,,,match,match
ABUCEJ,mace,gaff_mace,ok,-26707.522351343312,-26706.964207818306,0.08903501,0.11425802,0.0277535661231,0.0328304343356,match,match
ABUCEJ,maceoff,gaff_maceoff,ok,-35212.25204225,-35212.2350185,0.02611120,0.08999660,0.00802036349299,0.0273717677897,match,match
ABUCEJ,uma,gaff_uma,ok,-26579.094126861943,-26578.747237971627,0.03277661,0.07687319,,0.0227575347716,match,match
ABUJOY,mace,gaff_mace,ok,-30308.134863142295,-30310.643795354827,0.14743307,0.14379773,,0.0183945918256,timeout_match,match
ABUJOY,maceoff,gaff_maceoff,ok,-32173.44069825,-32173.381079,0.07568835,0.09317306,,0.0198538281071,timeout_match,match
ABUJOY,uma,gaff_uma,ok,-30176.528194728788,-30179.791352782533,0.04353525,0.09300300,0.0216472682788,0.0245283940669,match,match
ABULIT,mace,gaff_mace,missing_energy,,,0.07493130,0.07493130,0.0230013136759,0.0230013136759,match,match
ABULIT,maceoff,gaff_maceoff,ok,-16083.907700625,-16083.897483875,0.04166924,0.08714813,0.0332069098798,0.0307454464376,match,match
ABULIT,uma,gaff_uma,ok,-12857.882662717857,-12855.867843951792,0.01422128,0.07479992,,0.030400833428,match,match
ABULIT01,mace,gaff_mace,missing_energy,,,0.06344180,0.06344180,0.0343183249827,0.0343183249827,match,match
ABULIT01,maceoff,gaff_maceoff,ok,-16083.886854875,-16083.90673475,0.03467113,0.07295328,0.0329606310665,0.0304668202139,match,match
ABULIT01,uma,gaff_uma,ok,-12857.390551342029,-12857.054963296236,0.02036435,0.07076503,0.170353164663,0.0263099851362,match,match
ABURIY,mace,gaff_mace,ok,-28995.074999654855,-28986.66111286311,,,0.12074748697,0.0353264915733,error: StructureMatcher did not find a match,error: StructureMatcher did not find a match
ABURIY,maceoff,gaff_maceoff,ok,-30812.250768,-30812.28547825,0.00670932,,,0.0315667708338,timeout_match,error: StructureMatcher did not find a match
ABURIY,uma,gaff_uma,ok,-28836.367434669224,-28835.761628629854,0.01536420,,,0.17280098837,match,error: StructureMatcher did not find a match
ABUSIC,mace,gaff_mace,ok,-42209.08356389916,-42217.234596514274,0.06790626,0.21866659,,0.0343723405686,timeout_match,match
ABUSIC,maceoff,gaff_maceoff,ok,-44839.49892275,-44839.51057775,0.04374739,0.20756317,,0.0352528876655,timeout_match,match
ABUSIC,uma,gaff_uma,ok,-42051.910887576945,-42047.11711033574,0.00993392,0.15466804,,,match,timeout_match
ABUVOJ,mace,gaff_mace,ok,-25985.624475454042,-25984.96586657697,0.08328249,0.06868216,0.175314223907,0.0284464428438,match,match
ABUVOJ,maceoff,gaff_maceoff,ok,-28568.441312,-28568.4371115,0.04096641,0.03782764,,0.0344775944901,timeout_match,match
ABUVOJ,uma,gaff_uma,ok,-25881.004030795433,-25880.6984617486,0.01200557,0.03847498,,,match,match
ACAFIX,mace,gaff_mace,ok,-33955.77902947811,-33955.72362277614,0.06300184,0.06569527,,0.032287965655,timeout_match,match
ACAFIX,maceoff,gaff_maceoff,ok,-37953.67211275,-37953.68129325,0.03072137,0.04531246,,0.0146283043264,timeout_match,match
ACAFIX,uma,gaff_uma,ok,-33802.72719344822,-33801.44762909493,0.01119802,0.04042502,,0.0163510491791,match,match
ACAGAO,mace,gaff_mace,ok,-32654.87531680289,-32657.828696637185,0.07732758,,0.110424970491,0.0139721310156,match,error: StructureMatcher did not find a match
ACAGAO,maceoff,gaff_maceoff,ok,-38461.847429125,-38461.8221985,0.00684063,,,0.0231391771426,timeout_match,error: StructureMatcher did not find a match
ACAGAO,uma,gaff_uma,ok,-32499.56237113602,-32496.726992862914,0.01145772,,0.0825054314088,0.021141844386,match,error: StructureMatcher did not find a match
ACAGES,mace,gaff_mace,ok,-35092.97881691103,-35094.865925279366,0.09298958,0.13121211,0.0212815439668,0.0217132210107,match,match
ACAGES,maceoff,gaff_maceoff,ok,-40569.418421,-40569.369953,0.04074579,0.12521933,0.0196558632198,0.042208469488,match,match
ACAGES,uma,gaff_uma,ok,-34902.077811281146,-34902.16064393877,0.02841888,0.12408785,,0.0295668559108,match,match
ACALAR,mace,gaff_mace,ok,-18416.45116640256,-18417.217211696952,0.06413675,0.06121903,0.155233183797,0.0298965822666,match,match
ACALAR,maceoff,gaff_maceoff,ok,-22779.84354,-22779.8418635,0.02834784,0.02018927,,0.0299606787354,timeout_match,match
ACALAR,uma,gaff_uma,ok,-18345.590794725897,-18345.186665912297,0.01938395,0.02825526,,,match,match
ACALEV,mace,gaff_mace,ok,-21654.737978992176,-21653.750909923223,0.21081659,0.17381748,0.163881496891,0.0340744341676,match,match
ACALEV,maceoff,gaff_maceoff,ok,-24920.82041075,-24920.828307,0.04998282,0.07555915,,0.0312316557223,timeout_match,match
ACALEV,uma,gaff_uma,ok,-21558.660924551757,-21558.90886309574,0.02219991,0.06387205,0.160047136368,,match,match
ACALIZ,mace,gaff_mace,ok,-24860.986234016927,-24860.872357203687,0.08005329,0.08073176,0.0266341042975,0.0329784549465,match,match
ACALIZ,maceoff,gaff_maceoff,ok,-27061.875796,-27061.875437,0.04649540,0.05225907,0.0300382832337,0.0349490746437,match,match
ACALIZ,uma,gaff_uma,ok,-24767.841585911727,-24765.724842452943,0.02314726,0.03914770,0.0178926523205,,match,match
ACALOF,mace,gaff_mace,ok,-28077.505931558193,-28079.794081233886,0.16103521,0.20061917,0.158211949378,0.0312965856761,match,match
ACALOF,maceoff,gaff_maceoff,ok,-29202.760309,-29202.719402125,0.00672068,0.11384722,,0.0325484505843,timeout_match,match
ACALOF,uma,gaff_uma,ok,-27957.033079499055,-27953.622431554493,0.01737011,0.09712828,,,match,match
ACALUL,mace,gaff_mace,ok,-24884.00775486821,-24883.282957053303,0.11645106,0.09275034,0.126098191448,0.0322974407647,match,match
ACALUL,maceoff,gaff_maceoff,ok,-27062.065112,-27062.066335,0.04478106,0.05949800,0.150572084528,0.0291290535629,match,match
ACALUL,uma,gaff_uma,ok,-24774.672940396722,-24774.092098697343,0.02620285,0.04998333,,,match,match
